algorithm,c1,c2,max_iterations,precision,recall,f1_score
lbfgs,0.05,0.1,100,0.9560319145054701,0.9560264900662252,0.9559192661991556
lbfgs,0.1,0.1,100,0.9543235533318223,0.9543046357615894,0.9542319922549352
lbfgs,0.15000000000000002,0.1,100,0.9545767764239033,0.954635761589404,0.9544893205915228
lbfgs,0.2,0.1,100,0.9540307574991931,0.9541059602649007,0.9539867619213352
lbfgs,0.25,0.1,100,0.955490128794945,0.9554966887417219,0.9553878202209486
lbfgs,0.3,0.1,100,0.9549060593703598,0.9549668874172186,0.954818004053488
lbfgs,0.35,0.1,100,0.9547952909307615,0.9547019867549669,0.9546318323529002
lbfgs,0.39999999999999997,0.1,100,0.9545711716405354,0.954635761589404,0.954519324379383
lbfgs,0.44999999999999996,0.1,100,0.9558099508609015,0.9557615894039735,0.9556330190957699
lbfgs,0.49999999999999994,0.1,100,0.9575823900382899,0.9575496688741721,0.9574154479007342
lbfgs,0.5499999999999999,0.1,100,0.9551361713270974,0.9550993377483443,0.9549905833135073
lbfgs,0.6,0.1,100,0.955946159197988,0.9559602649006622,0.9558180884146888
lbfgs,0.65,0.1,100,0.9568481670439818,0.9568211920529801,0.9566897438374062
lbfgs,0.7000000000000001,0.1,100,0.9575648140739188,0.9576158940397351,0.9574788668179007
lbfgs,0.7500000000000001,0.1,100,0.9557510476910401,0.9557615894039735,0.9556318038992482
lbfgs,0.8000000000000002,0.1,100,0.9573117636283848,0.9573509933774834,0.9572315682682291
lbfgs,0.8500000000000002,0.1,100,0.9566508318821912,0.9566225165562914,0.9565178030927801
lbfgs,0.9000000000000002,0.1,100,0.9575459790776091,0.9575496688741721,0.9574223473769453
lbfgs,0.9500000000000003,0.1,100,0.9559850839881727,0.9559602649006622,0.9558463716805028
lbfgs,1.0000000000000002,0.1,100,0.9546755330484777,0.954635761589404,0.9545431865824797
