algorithm,c1,c2,max_iterations,precision,recall,f1_score
lbfgs,0.9,0.9,100,0.9538113964765014,0.953841059602649,0.9536912081460102
lbfgs,0.8,0.9,100,0.9515273727104181,0.951523178807947,0.9513772592299218
lbfgs,2,0.1,100,0.9530538340829124,0.9530463576158941,0.9528969605005833
lbfgs,0.1,0.1,50,0.9543000660571745,0.9541059602649007,0.9541353985718158
lbfgs,0.1,0.1,200,0.954195983131926,0.9541721854304636,0.9540944590286551
lbfgs,0.01,0.01,200,0.9552264589430175,0.9552317880794702,0.9551027891778059
lbfgs,0.01,0.01,100,0.9558246414303218,0.9557615894039735,0.9557137022846945
lbfgs,0.001,0.001,100,0.9497449267963993,0.9490728476821192,0.9489686829833746
lbfgs,0.005,0.005,100,0.9526799411334889,0.9524503311258278,0.9524087659191574
lbfgs,0.008,0.008,100,0.9523464249791429,0.9521854304635762,0.95216391924188
lbfgs,0.05,0.05,100,0.9560971566051361,0.9560264900662252,0.9559517670089014
lbfgs,0.05,0.1,100,0.9560319145054701,0.9560264900662252,0.9559192661991555
lbfgs,0.05,0.15000000000000002,100,0.9559742424562959,0.9559602649006622,0.9558770088620322
lbfgs,0.05,0.2,100,0.9546381432206342,0.954635761589404,0.9545580773987488
lbfgs,0.05,0.25,100,0.9553431461116572,0.955364238410596,0.955261685916894
lbfgs,0.05,0.3,100,0.9561804734990315,0.9560927152317881,0.9559911262299374
lbfgs,0.05,0.35,100,0.9565267042651993,0.9564900662251655,0.9563766796344906
lbfgs,0.05,0.39999999999999997,100,0.9561456220112015,0.9560927152317881,0.9559861304568129
lbfgs,0.05,0.44999999999999996,100,0.9554589081538875,0.9554966887417219,0.9554026968828735
lbfgs,0.05,0.49999999999999994,100,0.9542642558199075,0.9541721854304636,0.9540615458125591
lbfgs,0.05,0.5499999999999999,100,0.9554125106190673,0.9554304635761589,0.9553245669266769
lbfgs,0.05,0.6,100,0.9560105383724894,0.9560264900662252,0.9559194471077264
lbfgs,0.05,0.65,100,0.9549080528711126,0.9549668874172186,0.9548607815863488
lbfgs,0.05,0.7000000000000001,100,0.9565851358402413,0.9565562913907285,0.9564094035722389
lbfgs,0.05,0.7500000000000001,100,0.9562233523747594,0.9562251655629139,0.9560879437440886
lbfgs,0.05,0.8000000000000002,100,0.9539909541749286,0.953841059602649,0.9537254294731516
lbfgs,0.05,0.8500000000000002,100,0.9561949383258252,0.9561589403973509,0.956031695089867
lbfgs,0.05,0.9000000000000002,100,0.954863086530816,0.9547682119205299,0.9547074881364352
lbfgs,0.05,0.9500000000000003,100,0.9539538414920291,0.9539735099337748,0.9538737242229379
lbfgs,0.05,1.0000000000000002,100,0.9552479756033535,0.9552317880794702,0.9551076523397788
lbfgs,0.05,0.1,100,0.9560319145054701,0.9560264900662252,0.9559192661991556
lbfgs,0.1,0.1,100,0.9543235533318223,0.9543046357615894,0.9542319922549352
lbfgs,0.15000000000000002,0.1,100,0.9545767764239033,0.954635761589404,0.9544893205915228
lbfgs,0.2,0.1,100,0.9540307574991931,0.9541059602649007,0.9539867619213352
lbfgs,0.25,0.1,100,0.955490128794945,0.9554966887417219,0.9553878202209486
lbfgs,0.3,0.1,100,0.9549060593703598,0.9549668874172186,0.954818004053488
lbfgs,0.35,0.1,100,0.9547952909307615,0.9547019867549669,0.9546318323529002
lbfgs,0.39999999999999997,0.1,100,0.9545711716405354,0.954635761589404,0.954519324379383
lbfgs,0.44999999999999996,0.1,100,0.9558099508609015,0.9557615894039735,0.9556330190957699
lbfgs,0.49999999999999994,0.1,100,0.9575823900382899,0.9575496688741721,0.9574154479007342
lbfgs,0.5499999999999999,0.1,100,0.9551361713270974,0.9550993377483443,0.9549905833135073
lbfgs,0.6,0.1,100,0.955946159197988,0.9559602649006622,0.9558180884146888
lbfgs,0.65,0.1,100,0.9568481670439818,0.9568211920529801,0.9566897438374062
lbfgs,0.7000000000000001,0.1,100,0.9575648140739188,0.9576158940397351,0.9574788668179007
lbfgs,0.7500000000000001,0.1,100,0.9557510476910401,0.9557615894039735,0.9556318038992482
lbfgs,0.8000000000000002,0.1,100,0.9573117636283848,0.9573509933774834,0.9572315682682291
lbfgs,0.8500000000000002,0.1,100,0.9566508318821912,0.9566225165562914,0.9565178030927801
lbfgs,0.9000000000000002,0.1,100,0.9575459790776091,0.9575496688741721,0.9574223473769453
lbfgs,0.9500000000000003,0.1,100,0.9559850839881727,0.9559602649006622,0.9558463716805028
lbfgs,1.0000000000000002,0.1,100,0.9546755330484777,0.954635761589404,0.9545431865824797
